"Interval start","Graph 1"
"13:46:05","43939"
"13:46:06","293709"
"13:46:07","314961"
"13:46:08","305790"
"13:46:09","314961"
"13:46:10","313144"
"13:46:11","303084"
"13:46:12","311834"
"13:46:13","310017"
"13:46:14","307614"
"13:46:15","309431"
"13:46:16","314171"
"13:46:17","314171"
"13:46:18","308614"
"13:46:19","301630"
"13:46:20","317298"
"13:46:21","314961"
"13:46:22","318055"
"13:46:23","313120"
"13:46:24","306797"
"13:46:25","314961"
"13:46:26","308425"
"13:46:27","309227"
"13:46:28","314937"
"13:46:29","316238"
"13:46:30","314171"
"13:46:31","302156"
"13:46:32","305547"
"13:46:33","301630"
"13:46:34","318055"
"13:46:35","316238"
"13:46:36","315988"
"13:46:37","303084"
"13:46:38","313120"
"13:46:39","314937"
"13:46:40","308425"
"13:46:41","306304"
"13:46:42","395694"
"13:46:43","299173"
"13:46:44","314171"
"13:46:45","312354"
"13:46:46","310972"
"13:46:47","289804"
"13:46:48","307614"
"13:46:49","314961"
"13:46:50","316778"
"13:46:51","314937"
"13:46:52","502353"
"13:46:53","314171"
"13:46:54","318055"
"13:46:55","304901"
"13:46:56","313144"
"13:46:57","299813"
"13:46:58","311834"
"13:46:59","314171"
"13:47:00","299813"
"13:47:01","310242"
"13:47:02","309155"
"13:47:03","297659"
"13:47:04","295842"
"13:47:05","314171"
"13:47:06","314961"
"13:47:07","314937"
"13:47:08","313144"
"13:47:09","310972"
"13:47:10","317298"
"13:47:11","310242"
"13:47:12","303084"
"13:47:13","303973"
"13:47:14","301630"
"13:47:15","316238"
"13:47:16","295526"
"13:47:17","317298"
"13:47:18","289804"
"13:47:19","307614"
"13:47:20","309155"
"13:47:21","310242"
"13:47:22","309431"
"13:47:23","314171"
"13:47:24","301630"
"13:47:25","287987"
"13:47:26","312354"
"13:47:27","289804"
"13:47:28","314937"
"13:47:29","310242"
"13:47:30","3938.5"